mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
466.3289_4.123,22824.27238957593,27781.73722769397,1.217201440357072,0.00161,0.2835679461576992,2.7931741239681505,466.3289,4.123,25599.389,466.3289_4.123,466.3289_4.123,1
480.3082_3.357,37185.826368924005,28234.92117638767,0.759292556692607,5.52e-4,-0.39727222931644707,3.258060922270801,480.3082,3.357,31377.506,480.3082_3.357,480.3082_3.357,1
480.3446_3.381,44300.02573366628,52222.014254794725,1.178825822105743,0.0261,0.2373505680651182,1.583359492661719,480.3446,3.381,50644.723,480.3446_3.381,480.3446_3.381,1
482.3238_2.701,40988.87335001292,51391.62356398384,1.2537944901568672,0.00216,0.32630089492708375,2.665546248849069,482.3238,2.701,46643.9,482.3238_2.701,482.3238_2.701,1
502.2902_3.355,9703.88977670879,7193.765431633832,0.7413280238302231,0.00252,-0.43181604542219665,2.598599459218456,502.2902,3.355,8336.037,502.2902_3.355,502.2902_3.355,1
510.3551_3.445,54398.53041430973,68152.57602421894,1.2528385510629743,0.00489,0.32520051155677643,2.3106911408763797,510.3551,3.445,60776.477,510.3551_3.445,510.3551_3.445,1
522.3564_3.24,1306651.2563004547,1067398.0625656373,0.8168959065541181,0.00525,-0.2917758410767854,2.279840696594043,522.3564,3.24,1107699.5,Cluster_522.3564_3.24,1043.703_3.238;1065.6846_3.239;522.3564_3.24;639.47_3.238,4
526.2644_1.714,10373.766813398752,56026.48314285611,5.400784898161807,9.94e-7,2.4331690899423775,6.002613615602686,526.2644,1.714,33940.074,Cluster_526.2644_1.714,463.2323_1.708;526.2644_1.714;531.2196_1.712,3
536.437_10.971,28200.409593512937,18465.433276611417,0.6547930878585217,1.15e-5,-0.610889002404658,4.939302159646388,536.437,10.971,28154.94,Cluster_536.437_10.971,536.437_10.971;537.4409_10.971,2
536.437_11.201,23781.866092388136,55914.52281913901,2.351141100615127,3.59e-7,1.233361123018685,6.444905551421681,536.437,11.201,24362.299,Cluster_536.437_11.201,536.437_11.201;537.4408_11.2,2
538.3859_4.051,8034.693654306834,10005.882886480493,1.2453347093223701,0.00173,0.3165335483827326,2.7619538968712045,538.3859,4.051,9140.667,538.3859_4.051,538.3859_4.051,1
552.4018_4.301,14088.406532103027,11816.13615458213,0.8387134575976984,0.023,-0.2537500898380886,1.6382721639824072,552.4018,4.301,12426.859,552.4018_4.301,552.4018_4.301,1
577.5185_8.358,10670.660980141985,8642.932975921585,0.8099716589259104,7.06e-4,-0.30405666620166255,3.1511952989481964,577.5185,8.358,9950.561,577.5185_8.358,577.5185_8.358,1
593.4757_4.54,5118.886744470318,3601.15735490928,0.703504010671741,1.46e-4,-0.5073694466071637,3.835647144215563,593.4757,4.54,4907.9043,593.4757_4.54,593.4757_4.54,1
593.4762_4.644,6574.284088240238,4527.279500543237,0.6886346010878076,3.51e-4,-0.5381894226004174,3.4546928835341757,593.4762,4.644,6266.7153,593.4762_4.644,593.4762_4.644,1
593.4768_4.312,5291.330839462755,3529.61788780869,0.6670567376896552,0.0152,-0.584118617282255,1.8181564120552274,593.4768,4.312,4877.44,593.4768_4.312,593.4768_4.312,1
595.4929_4.645,21429.565059333898,13325.936786290647,0.6218482152761369,1.44e-4,-0.6853656138741496,3.8416375079047502,595.4929,4.645,19320.225,Cluster_595.4929_4.645,577.4817_4.655;595.4929_4.645,2
596.4154_4.906,4770.031562843212,13331.73705034179,2.7948949340694322,7.84e-7,1.482794050171854,6.105683937315561,596.4154,4.906,9519.12,596.4154_4.906,596.4154_4.906,1
597.5086_5.242,4826.998556716177,4046.1281367051706,0.8382285781037742,0.0184,-0.25458438612969,1.7351821769904636,597.5086,5.242,3913.0447,597.5086_5.242,597.5086_5.242,1
605.5497_9.629,14741.563007091323,10761.376516083896,0.7300024095753763,1.43e-4,-0.45402686887181865,3.844663962534938,605.5497,9.629,12343.13,Cluster_605.5497_9.629,605.5497_9.629;882.6062_9.627;887.5614_9.632,3
